"filename", "language", "C#", "XML", "JSON", "Markdown", "Log", "comment", "blank", "total"
"f:\Repos\DocSyncWpf - Async\AddPhoneToExtWindow.xaml", "XML", 0, 35, 0, 0, 0, 4, 9, 48
"f:\Repos\DocSyncWpf - Async\AddPhoneToExtWindow.xaml.cs", "C#", 53, 0, 0, 0, 0, 3, 6, 62
"f:\Repos\DocSyncWpf - Async\App.xaml", "XML", 0, 11, 0, 0, 0, 4, 1, 16
"f:\Repos\DocSyncWpf - Async\App.xaml.cs", "C#", 13, 0, 0, 0, 0, 3, 2, 18
"f:\Repos\DocSyncWpf - Async\AssemblyInfo.cs", "C#", 5, 0, 0, 0, 0, 4, 2, 11
"f:\Repos\DocSyncWpf - Async\ConnectWiseConnection.cs", "C#", 75, 0, 0, 0, 0, 0, 10, 85
"f:\Repos\DocSyncWpf - Async\CustomJsonConverter.cs", "C#", 81, 0, 0, 0, 0, 3, 6, 90
"f:\Repos\DocSyncWpf - Async\DocSyncWpf - Backup.csproj", "XML", 0, 45, 0, 0, 0, 0, 8, 53
"f:\Repos\DocSyncWpf - Async\DocSyncWpf.csproj", "XML", 0, 53, 0, 0, 0, 0, 9, 62
"f:\Repos\DocSyncWpf - Async\Docs.cs", "C#", 677, 0, 0, 0, 0, 6, 142, 825
"f:\Repos\DocSyncWpf - Async\Logging.cs", "C#", 14, 0, 0, 0, 0, 0, 2, 16
"f:\Repos\DocSyncWpf - Async\MainWindow.xaml", "XML", 0, 68, 0, 0, 0, 0, 13, 81
"f:\Repos\DocSyncWpf - Async\MainWindow.xaml.cs", "C#", 488, 0, 0, 0, 0, 5, 66, 559
"f:\Repos\DocSyncWpf - Async\Models\BaseModels.cs", "C#", 278, 0, 0, 0, 0, 0, 56, 334
"f:\Repos\DocSyncWpf - Async\Models\CompanyModel.cs", "C#", 264, 0, 0, 0, 0, 0, 32, 296
"f:\Repos\DocSyncWpf - Async\Models\ConnectWiseModel.cs", "C#", 15, 0, 0, 0, 0, 0, 1, 16
"f:\Repos\DocSyncWpf - Async\Models\TicketModel.cs", "C#", 75, 0, 0, 0, 0, 2, 4, 81
"f:\Repos\DocSyncWpf - Async\PasswordResetWindow.xaml", "XML", 0, 35, 0, 0, 0, 0, 8, 43
"f:\Repos\DocSyncWpf - Async\PasswordResetWindow.xaml.cs", "C#", 74, 0, 0, 0, 0, 8, 32, 114
"f:\Repos\DocSyncWpf - Async\Properties\Resources.Designer.cs", "C#", 32, 0, 0, 0, 0, 23, 9, 64
"f:\Repos\DocSyncWpf - Async\SkySwitch.cs", "C#", 57, 0, 0, 0, 0, 1, 14, 72
"f:\Repos\DocSyncWpf - Async\SkySwitchTelcoToken.cs", "C#", 44, 0, 0, 0, 0, 0, 10, 54
"f:\Repos\DocSyncWpf - Async\SkySwitchToken.cs", "C#", 74, 0, 0, 0, 0, 0, 14, 88
"f:\Repos\DocSyncWpf - Async\Sync.cs", "C#", 288, 0, 0, 0, 0, 19, 32, 339
"f:\Repos\DocSyncWpf - Async\ThreeCx.cs", "C#", 358, 0, 0, 0, 0, 1300, 40, 1698
"f:\Repos\DocSyncWpf - Async\bin\Debug\netcoreapp3.1\SyncLog.log", "Log", 0, 0, 0, 0, 23, 0, 1, 24
